ewtb.r.363234.3:4	than	Scalar/Rank	It came out better |than| I even imagined .
ewtb.r.363234.5:6	to	Recipient	I would highly recommend this shop |to| anyone looking to get a quality tattoo done .
ewtb.r.363428.2:2	of	Quantity	Fantastic couple |of| days .
ewtb.r.363428.4:4	for	Beneficiary	Nothing too much trouble |for| Ian , thanks for a great stay .
ewtb.r.363428.4:8	for	Reciprocation	Nothing too much trouble for Ian , thanks |for| a great stay .
ewtb.r.363482.2:10	on	Theme	How do you run a cafe , with no refills |on| coffee - ?
ewtb.r.363482.2:7	with	Circumstance	How do you run a cafe , |with| no refills on coffee - ?
ewtb.r.363685.10:12	of	Whole	Finally a chambermaid stuck her head around the corner from the top |of| the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions .
ewtb.r.363685.10:25	until	EndTime	Finally a chambermaid stuck her head around the corner from the top of the stairs and told us sternly that we could not be accommodated |until| 3 M , no exceptions .
ewtb.r.363685.10:6	around	1DTrajectory	Finally a chambermaid stuck her head |around| the corner from the top of the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions .
ewtb.r.363685.10:9	from	Location	Finally a chambermaid stuck her head around the corner |from| the top of the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions .
ewtb.r.363685.1:1	of	Quantity	Lots |of| rules , phantom innkeeper , last minute price was worth it .
ewtb.r.363685.12:14	from	Donor/Speaker	We returned after 3 PM , found no one there , and a note |from| the innkeeper with directions to our room .
ewtb.r.363685.12:17	with	Attribute	We returned after 3 PM , found no one there , and a note from the innkeeper |with| directions to our room .
ewtb.r.363685.12:19	to	Destination	We returned after 3 PM , found no one there , and a note from the innkeeper with directions |to| our room .
ewtb.r.363685.12:2	after	RelativeTime	We returned |after| 3 PM , found no one there , and a note from the innkeeper with directions to our room .
ewtb.r.363685.13:1	in	Location	Rules |in| the room : # 1 ) if you drink the soda from the fridge in your room you must prove it by leaving the can in the trash .
ewtb.r.363685.13:13	from	InitialLocation	Rules in the room : # 1 ) if you drink the soda |from| the fridge in your room you must prove it by leaving the can in the trash .
ewtb.r.363685.13:16	in	Location	Rules in the room : # 1 ) if you drink the soda from the fridge |in| your room you must prove it by leaving the can in the trash .
ewtb.r.363685.13:23	by	Means	Rules in the room : # 1 ) if you drink the soda from the fridge in your room you must prove it |by| leaving the can in the trash .
ewtb.r.363685.13:27	in	Location	Rules in the room : # 1 ) if you drink the soda from the fridge in your room you must prove it by leaving the can |in| the trash .
ewtb.r.363685.14:11	home	Direction	If they think you 've taken a soda from your room |home| with you , they will charge you $ 1.50 per can .
ewtb.r.363685.14:12	with	Attribute	If they think you 've taken a soda from your room home |with| you , they will charge you $ 1.50 per can .
ewtb.r.363685.14:21	per	Value	If they think you 've taken a soda from your room home with you , they will charge you $ 1.50 |per| can .
ewtb.r.363685.14:8	from	InitialLocation	If they think you 've taken a soda |from| your room home with you , they will charge you $ 1.50 per can .
ewtb.r.363685.15:4	in	Location	They count the cans |in| the trash to make sure .
ewtb.r.363685.15:7	to	Purpose	They count the cans in the trash |to| make sure .
ewtb.r.363685.16:17	per	Value	# 2 ) If you take the shampoo products home , they will charge you $ 8 |per| item .
ewtb.r.363685.16:9	home	Direction	# 2 ) If you take the shampoo products |home| , they will charge you $ 8 per item .
ewtb.r.363685.17:10	after	RelativeTime	# ) If you want a late checkout , ( |after| 11 AM ) they charge you $ 15 for the first hour , $ 25 for the second hour , and after 2 PM it 's a full day charge .
ewtb.r.363685.17:19	for	Theme	# ) If you want a late checkout , ( after 11 AM ) they charge you $ 15 |for| the first hour , $ 25 for the second hour , and after 2 PM it 's a full day charge .
ewtb.r.363685.17:26	for	Theme	# ) If you want a late checkout , ( after 11 AM ) they charge you $ 15 for the first hour , $ 25 |for| the second hour , and after 2 PM it 's a full day charge .
ewtb.r.363685.17:32	after	RelativeTime	# ) If you want a late checkout , ( after 11 AM ) they charge you $ 15 for the first hour , $ 25 for the second hour , and |after| 2 PM it 's a full day charge .
ewtb.r.363685.18:7	to	EndTime	# 4 ) Breakfast is 8 AM |to| 10 AM .
ewtb.r.363685.21:1	By	Agent	( |By| whom , I do n't know .
ewtb.r.363685.2:16	before	RelativeTime	I called the " 207 " number and listened to the same recording loop 3 times |before| I gave up .
ewtb.r.363685.23:5	in	Location	All these rules are posted |in| the rooms . )
ewtb.r.363685.24:12	for	Function	Snacks : uninspired bread , tea backs , and individual coffee things |for| a machine that did n't exist .
ewtb.r.363685.25:10	for	Theme	I put the coffee thing in hot water and settled |for| a cup of weak coffee .
ewtb.r.363685.25:13	of	Quantity	I put the coffee thing in hot water and settled for a cup |of| weak coffee .
ewtb.r.363685.25:5	in	Location	I put the coffee thing |in| hot water and settled for a cup of weak coffee .
ewtb.r.363685.28:3	except	Elements	Bath was clean |except| shower stall which had mildew problems .
ewtb.r.363685.2:9	to	Stimulus	I called the " 207 " number and listened |to| the same recording loop 3 times before I gave up .
ewtb.r.363685.30:5	with	Attribute	The Inn touts a shower |with| dual shower heads , but only one worked .
ewtb.r.363685.3:13	about	Topic	I then called the 800 number ( which was answered ) and inquired |about| last minute rates .
ewtb.r.363685.31:5	off	Location	Do n't get the rooms |off| the two kitchens .
ewtb.r.363685.32:3	OFF	Location	They are RIGHT |OFF| the kitchen so you hear everything .
ewtb.r.363685.34:13	of	Value	I 'd go back if I could get the last minute rate again |of| $ 99 , but I would n't pay their rack rate .
ewtb.r.363685.34:3	back	Direction	I 'd go |back| if I could get the last minute rate again of $ 99 , but I would n't pay their rack rate .
ewtb.r.363685.4:4	with	Attribute	They had a room |with| a $ 99 rate , which I booked .
ewtb.r.363685.5:15	on	Location	The room was supposed to be on the 2nd floor , but they put us |on| the 3rd .
ewtb.r.363685.5:6	on	Location	The room was supposed to be |on| the 2nd floor , but they put us on the 3rd .
ewtb.r.363685.6:12	about	Topic	The email confirmation ( which I read in the car ) warned |about| large suitcases , declaring that we are innkeepers , not longshoreman .
ewtb.r.363685.6:7	in	Location	The email confirmation ( which I read |in| the car ) warned about large suitcases , declaring that we are innkeepers , not longshoreman .
ewtb.r.363685.7:15	to	Function	In other words , they do not help with suitcases , but they promise totes |to| help .
ewtb.r.363685.7:8	with	Theme	In other words , they do not help |with| suitcases , but they promise totes to help .
ewtb.r.363685.8:1	upon	Time	However |upon| our arrival no one there ( the inn was open ) .
ewtb.r.363873.2:3	for	Duration	We lived here |for| 2 years , the first year or so was okay .
ewtb.r.363873.3:7	to	Recipient	Then , the more power they gave |to| Linda , the worse the place got .
ewtb.r.363873.4:15	at	Location	We were always having our water shut off , there were always people having parties |at| the pool , even after it was supposed to be closed .
ewtb.r.363873.4:20	after	RelativeTime	We were always having our water shut off , there were always people having parties at the pool , even |after| it was supposed to be closed .
ewtb.r.363873.5:13	down	Location	The pool was supposed to close at 10 and they would have people |down| there until 11:45 yelling , playing music and do who - knows - what in the dark corners of the pool .
ewtb.r.363873.5:15	until	EndTime	The pool was supposed to close at 10 and they would have people down there |until| 11:45 yelling , playing music and do who - knows - what in the dark corners of the pool .
ewtb.r.363873.5:28	in	Location	The pool was supposed to close at 10 and they would have people down there until 11:45 yelling , playing music and do who - knows - what |in| the dark corners of the pool .
ewtb.r.363873.5:32	of	Whole	The pool was supposed to close at 10 and they would have people down there until 11:45 yelling , playing music and do who - knows - what in the dark corners |of| the pool .
ewtb.r.363873.5:6	at	Time	The pool was supposed to close |at| 10 and they would have people down there until 11:45 yelling , playing music and do who - knows - what in the dark corners of the pool .
ewtb.r.363873.6:17	back	Direction	Then , when we moved out , we cleaned the apartment top to bottom , they came |back| and tried to charge us for two cleaning fees ( and we never got our deposit back ) and past utilities ( that were already paid , we have check numbers and records of this ) .
ewtb.r.363873.6:23	for	Theme	Then , when we moved out , we cleaned the apartment top to bottom , they came back and tried to charge us |for| two cleaning fees ( and we never got our deposit back ) and past utilities ( that were already paid , we have check numbers and records of this ) .
ewtb.r.363873.6:34	back	Direction	Then , when we moved out , we cleaned the apartment top to bottom , they came back and tried to charge us for two cleaning fees ( and we never got our deposit |back| ) and past utilities ( that were already paid , we have check numbers and records of this ) .
ewtb.r.363873.6:51	of	Topic	Then , when we moved out , we cleaned the apartment top to bottom , they came back and tried to charge us for two cleaning fees ( and we never got our deposit back ) and past utilities ( that were already paid , we have check numbers and records |of| this ) .
ewtb.r.363873.7:14	for	Beneficiary	Linda is the rudest person you will ever talk to and she sticks up |for| all of the trashy , rude people that live there , not the nice ones that actually give a crap about respecting others .
ewtb.r.363873.7:16	of	Superset	Linda is the rudest person you will ever talk to and she sticks up for all |of| the trashy , rude people that live there , not the nice ones that actually give a crap about respecting others .
ewtb.r.363873.7:35	about	Stimulus	Linda is the rudest person you will ever talk to and she sticks up for all of the trashy , rude people that live there , not the nice ones that actually give a crap |about| respecting others .
ewtb.r.363873.7:9	to	Recipient	Linda is the rudest person you will ever talk |to| and she sticks up for all of the trashy , rude people that live there , not the nice ones that actually give a crap about respecting others .
ewtb.r.364454.2:0	As	Attribute	|As| a very satisfied new customer , I wholeheartedly recommend United Air Duct Cleaning .
ewtb.r.364454.3:12	in	Stimulus	They are professional , knowledgeable , and take meticulous care and pride |in| accomplishing their work .
ewtb.r.364454.4:20	by	Agent	Not only were my wife and I very pleased , but I also had the air duct quality tested professionally |by| the home inspector that I regularly use , before and after United Air Duct performed their work .
ewtb.r.364454.4:29	before	RelativeTime	Not only were my wife and I very pleased , but I also had the air duct quality tested professionally by the home inspector that I regularly use , |before| and after United Air Duct performed their work .
ewtb.r.364454.4:31	after	RelativeTime	Not only were my wife and I very pleased , but I also had the air duct quality tested professionally by the home inspector that I regularly use , before and |after| United Air Duct performed their work .
ewtb.r.364454.5:1	on	Topic	Based |on| the test results , the home inspector stated that the quality of their job was " excellent " .
ewtb.r.364454.5:13	of	Possessor	Based on the test results , the home inspector stated that the quality |of| their job was " excellent " .
ewtb.r.365154.10:6	before	RelativeTime	I will be carefully researching vets |before| I take my dog someplace else .
ewtb.r.365154.4:0	After	Explanation	|After| the way she spoke to me on my last visit , I will not be returning !!
ewtb.r.365154.4:5	to	Recipient	After the way she spoke |to| me on my last visit , I will not be returning !!
ewtb.r.365154.4:7	on	Time	After the way she spoke to me |on| my last visit , I will not be returning !!
ewtb.r.365154.5:4	with	Attribute	Good luck keeping business |with| that stuck up attitude Dr. Shady .
ewtb.r.365154.7:5	like	Comparison/Contrast	The next time you feel |like| being condescending to someone , it is not going to be me !!!!!!
ewtb.r.365154.7:8	to	Beneficiary	The next time you feel like being condescending |to| someone , it is not going to be me !!!!!!
ewtb.r.365154.9:13	of	Superset	She probably does not even have 10 % of the knowledge that some |of| the other EXPERIENCED vets do in this area .
ewtb.r.365154.9:19	in	Location	She probably does not even have 10 % of the knowledge that some of the other EXPERIENCED vets do |in| this area .
ewtb.r.365154.9:8	of	Whole	She probably does not even have 10 % |of| the knowledge that some of the other EXPERIENCED vets do in this area .
ewtb.r.365630.2:13	than	Scalar/Rank	I would rate Fran pcs an A + because the price was lower |than| everyone else , i got my computer back the next day , and the professionalism he showed was great .
ewtb.r.365630.2:21	back	Direction	I would rate Fran pcs an A + because the price was lower than everyone else , i got my computer |back| the next day , and the professionalism he showed was great .
ewtb.r.365630.3:18	to	Destination	He took the time to explain things to me about my computer , i would recommend you go |to| him .
ewtb.r.365630.3:7	to	Recipient	He took the time to explain things |to| me about my computer , i would recommend you go to him .
ewtb.r.365630.3:9	about	Topic	He took the time to explain things to me |about| my computer , i would recommend you go to him .
ewtb.r.365688.1:2	on	Location	No meat |on| Burger and too much pepper .
ewtb.r.365688.2:2	to	Function	no place |to| seat
ewtb.r.366586.2:6	on a whim	Explanation	My husband and I happened in |on| |a| |whim| .
ewtb.r.366586.3:2	in	Location	We sat |in| the front dining area , it was very cozy and pleasant .
ewtb.r.366586.5:14	of	Theme	My husband has been a professional chef , so he is a good judge |of| quality food .
ewtb.r.366586.6:7	for	Experiencer	This was a flavorful , enjoyable meal |for| both of us .
ewtb.r.366586.6:9	of	Superset	This was a flavorful , enjoyable meal for both |of| us .
ewtb.r.366946.2:2	to	Function	Good place |to| be on a Sunday Night .
ewtb.r.366946.2:4	on	Time	Good place to be |on| a Sunday Night .
ewtb.r.366946.3:13	as	Circumstance	The beers were good , nice choice of beers as well , and |as| usual the mussels were great , the place upstairs is a nice addition to the bar downstairs .
ewtb.r.366946.3:22	upstairs	Location	The beers were good , nice choice of beers as well , and as usual the mussels were great , the place |upstairs| is a nice addition to the bar downstairs .
ewtb.r.366946.3:27	to	Co-Theme	The beers were good , nice choice of beers as well , and as usual the mussels were great , the place upstairs is a nice addition |to| the bar downstairs .
ewtb.r.366946.3:30	downstairs	Location	The beers were good , nice choice of beers as well , and as usual the mussels were great , the place upstairs is a nice addition to the bar |downstairs| .
ewtb.r.366946.3:7	of	Species	The beers were good , nice choice |of| beers as well , and as usual the mussels were great , the place upstairs is a nice addition to the bar downstairs .
ewtb.r.366946.4:11	on	Topic	Filled up on too much beer and hence can not comment |on| the food .
ewtb.r.366946.4:2	on	Patient	Filled up |on| too much beer and hence can not comment on the food .
ewtb.r.366946.5:10	at	Location	But the menu had standard stuff that one would get |at| a Belgian Tavern .
ewtb.r.366946.6:13	to	Function	If you are a handcraft beer person , this is a fantastic place |to| be .
ewtb.r.367586.1:3	with	Attribute	Well kept facility |with| friendly staff .
ewtb.r.368431.3:7	for	Circumstance	I wish I could have a slice |for| every single meal .
ewtb.r.368431.4:11	during	Duration	Luckily I live very close , so I can abuse it |during| week - ends ...
ewtb.r.369087.3:9	to	Destination	My car broke down and roadside towed my vehicle |to| Sussman Kia .
ewtb.r.369087.4:11	in	DeicticTime	They squeezed me in and had me back up and running |in| no time .
ewtb.r.369087.4:8	up and running	State	They squeezed me in and had me back |up| |and| |running| in no time .
ewtb.r.369087.6:8	home	Direction	The service department even gave me a ride |home| and picked me up when my car was finished .
ewtb.r.369087.7:12	of	Possessor	The advisor kept me up to date and informed on the progress |of| my vehicle .
ewtb.r.369087.7:4	up to date	State	The advisor kept me |up| |to| |date| and informed on the progress of my vehicle .
ewtb.r.369087.7:9	on	Topic	The advisor kept me up to date and informed |on| the progress of my vehicle .
ewtb.r.369087.9:7	back	Direction	I will definitely be bringing my car |back| for service .
ewtb.r.369087.9:8	for	Purpose	I will definitely be bringing my car back |for| service .
ewtb.r.369210.1:15	by	Agent	When I arrived at Brickell Honda on 6/4/11 , I was greeted and attended to |by| the Sales Manager , Gustavo Guerra , in a very friendly and professional manner .
ewtb.r.369210.1:23	in	Manner	When I arrived at Brickell Honda on 6/4/11 , I was greeted and attended to by the Sales Manager , Gustavo Guerra , |in| a very friendly and professional manner .
ewtb.r.369210.1:3	at	Location	When I arrived |at| Brickell Honda on 6/4/11 , I was greeted and attended to by the Sales Manager , Gustavo Guerra , in a very friendly and professional manner .
ewtb.r.369210.1:6	on	Time	When I arrived at Brickell Honda |on| 6/4/11 , I was greeted and attended to by the Sales Manager , Gustavo Guerra , in a very friendly and professional manner .
ewtb.r.369210.2:12	to	Destination	I explained to him what I wanted and that I previously went |to| Braman Honda .
ewtb.r.369210.2:2	to	Recipient	I explained |to| him what I wanted and that I previously went to Braman Honda .
ewtb.r.369210.3:5	of	Quantity	Bramen Honda was a bit |of| a hassle .
ewtb.r.369210.5:13	of	Species	Mr. Guerra gave me a better deal without any hassles nor any type |of| problems .
ewtb.r.369210.5:7	without	Attribute	Mr. Guerra gave me a better deal |without| any hassles nor any type of problems .
ewtb.r.369210.6:8	in the world	Location	Brickell Honda has been the best buying experience |in| |the| |world| .
ewtb.r.369210.7:10	of	Superset	I urge all St. Thomas the Apostle parishioners and all |of| South Florida residents to come see Gus !!!
ewtb.r.369608.2:2	with	ProfessionalAspect	I worked |with| Sam Mones who took great care of me .
ewtb.r.369608.3:2	by far	Extent	This is |by| |far| the best run dealership in Miami .
ewtb.r.369608.3:8	in	Location	This is by far the best run dealership |in| Miami .
ewtb.r.371300.2:19	in a matter of	Duration	Do n't go here unless you want to sit , order , eat and be asked to leave all |in| |a| |matter| |of| 20 minutes .
ewtb.r.371300.3:11	before	RelativeTime	You wo n't even have time to read the entire menu |before| being asked to order and if you ask for more time your server will wait at the table .
ewtb.r.371300.3:20	for	Theme	You wo n't even have time to read the entire menu before being asked to order and if you ask |for| more time your server will wait at the table .
ewtb.r.371300.3:27	at	Location	You wo n't even have time to read the entire menu before being asked to order and if you ask for more time your server will wait |at| the table .
ewtb.r.371300.5:7	to go	Manner	I was told to take my coffee |to| |go| if I wanted to finish it .
ewtb.r.371300.7:16	to	Purpose	Plus the drinks are self service , have fun trying to negotiate the small cafeteria space |to| get your coffee , juice or water .
ewtb.r.371300.8:3	to	Destination	Go next door |to| the Ball Square Cafe instead .
ewtb.r.371492.2:12	on	Location	I am so glad that we now have a good nail shop |on| San Mateo Avenue !
ewtb.r.371492.3:5	to	Destination	No more having to drive |to| San Francisco for a great mani pedi .
ewtb.r.371492.3:8	for	Purpose	No more having to drive to San Francisco |for| a great mani pedi .
ewtb.r.372665.2:19	out front	Location	This is a delivery office only and does not take walk ins but they do have a blue box |out| |front| .
ewtb.r.372665.3:3	before	RelativeTime	Glad I called |before| I arrived with my box to ship .
ewtb.r.372665.3:6	with	Accompanier	Glad I called before I arrived |with| my box to ship .
ewtb.r.372665.3:9	to	Function	Glad I called before I arrived with my box |to| ship .
ewtb.r.372665.4:9	with	Theme	Thought adding a comment would save someone the hassle |with| a useless trip there .
ewtb.r.372903.1:1	for	Beneficiary	Fantastic |for| kids
ewtb.r.372903.4:6	at	Location	They sell feed and milk bottles |at| the front and I recommend you buy lots .
ewtb.r.372903.6:8	with	Beneficiary	The animals were all very sweet and patient |with| her .
ewtb.r.372903.7:0	Among	Superset	|Among| the animals that were available to touch were pony's , camels and EVEN AN OSTRICH !!!
ewtb.r.372903.8:5	of	Quantity	Wonderful , inexpensive and lots |of| fun !
ewtb.r.374000.3:3	in	Direction	I love walking |in| and not being hassled .
ewtb.r.374000.4:9	in	Time	I was there when they did a free raffle |in| August and I won a hard drive !
ewtb.r.374000.5:4	back	Direction	The reason I go |back| is because the employees are sooooo nice . "
ewtb.r.374344.2:6	on the planet	Location	Absoul is the greatest donair man |on| |the| |planet| .
ewtb.r.374344.4:9	to	Destination	If you enjoy amazing things , you must go |to| World 's Finest Donair .
ewtb.r.374604.1:14	before	DeicticTime	I 've never felt the need to write a review or make a complaint |before| , but after the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .
ewtb.r.374604.1:17	after	Explanation	I 've never felt the need to write a review or make a complaint before , but |after| the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .
ewtb.r.374604.1:23	to	Recipient	I 've never felt the need to write a review or make a complaint before , but after the way I was spoken |to| by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .
ewtb.r.374604.1:24	by	Agent	I 've never felt the need to write a review or make a complaint before , but after the way I was spoken to |by| a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .
ewtb.r.374604.1:27	of	Superset	I 've never felt the need to write a review or make a complaint before , but after the way I was spoken to by a member |of| staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .
ewtb.r.374604.1:29	at	Location	I 've never felt the need to write a review or make a complaint before , but after the way I was spoken to by a member of staff |at| the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .
ewtb.r.374604.1:49	to	Recipient	I 've never felt the need to write a review or make a complaint before , but after the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business |to| anybody .
ewtb.r.374604.2:5	in	Manner	If the animals are treated |in| the same way the customers are treated then this leaves a lot to be desired !
ewtb.r.374604.3:22	in	Locus	Nobody should be spoken to like that regardless of how bad their day may have been or what may be going on |in| their private lives !
ewtb.r.374604.3:4	to	Recipient	Nobody should be spoken |to| like that regardless of how bad their day may have been or what may be going on in their private lives !
ewtb.r.374604.3:5	like	Comparison/Contrast	Nobody should be spoken to |like| that regardless of how bad their day may have been or what may be going on in their private lives !
ewtb.r.374604.3:7	regardless of	Circumstance	Nobody should be spoken to like that |regardless| |of| how bad their day may have been or what may be going on in their private lives !
ewtb.r.376320.10:9	from	InitialLocation	Yes the parking can be a challenge but being |from| NJ I am no stranger to tight corners .
ewtb.r.376320.11:16	as	Explanation	Please pass my appreciation to the Staff and Management for their excellent hospitality and good spirits |as| it helped make a stressful trip enjoyable .
ewtb.r.376320.11:4	to	Recipient	Please pass my appreciation |to| the Staff and Management for their excellent hospitality and good spirits as it helped make a stressful trip enjoyable .
ewtb.r.376320.11:9	for	Reciprocation	Please pass my appreciation to the Staff and Management |for| their excellent hospitality and good spirits as it helped make a stressful trip enjoyable .
ewtb.r.376320.1:2	to	Destination	First trip |to| Canada
ewtb.r.376320.2:3	to	Destination	I recently traveled |to| Canada on business and had a most excellent experience .
ewtb.r.376320.2:5	on	Activity	I recently traveled to Canada |on| business and had a most excellent experience .
ewtb.r.376320.3:11	into	Destination	I work for a large retail company recently expanding our operations |into| Canada and had to travel to ensure all of our computer network equipment was installed properly and on time .
ewtb.r.376320.3:17	to	Purpose	I work for a large retail company recently expanding our operations into Canada and had to travel |to| ensure all of our computer network equipment was installed properly and on time .
ewtb.r.376320.3:2	for	ProfessionalAspect	I work |for| a large retail company recently expanding our operations into Canada and had to travel to ensure all of our computer network equipment was installed properly and on time .
ewtb.r.376320.3:20	of	Quantity	I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all |of| our computer network equipment was installed properly and on time .
ewtb.r.376320.3:29	on time	State	I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all of our computer network equipment was installed properly and |on| |time| .
ewtb.r.376320.4:15	for	Frequency	This can tend to be a stressful experience in itself let alone adding crossing boarders |for| the first time .
ewtb.r.376320.5:20	of	Whole	I was very pleased to find my accommodations and the hotel staff to be a very calming and comforting part |of| my trip .
ewtb.r.376320.6:15	with	Circumstance	I found the hotel to be amazingly clean , not to mention very well adorned |with| many pleasant surprises .
ewtb.r.376320.7:0	From	StartTime	|From| my first encounter at check in to my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.376320.7:4	at	Time	From my first encounter |at| check in to my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.376320.7:7	to	EndTime	From my first encounter at check in |to| my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.376320.8:11	with	Stimulus	I completely enjoyed my whole check in experience and was impressed |with| the friendliness and professionalism of the staff as well as the accommodations themselves .
ewtb.r.376320.8:16	of	Possessor	I completely enjoyed my whole check in experience and was impressed with the friendliness and professionalism |of| the staff as well as the accommodations themselves .
ewtb.r.376320.9:21	in	Attribute	I will be traveling in this area in the future and you can be assured that this experience will be helpful |in| my choice of hotels and Novotel will be my first selection .
ewtb.r.376320.9:24	of	Theme	I will be traveling in this area in the future and you can be assured that this experience will be helpful in my choice |of| hotels and Novotel will be my first selection .
ewtb.r.376320.9:4	in	Location	I will be traveling |in| this area in the future and you can be assured that this experience will be helpful in my choice of hotels and Novotel will be my first selection .
ewtb.r.376320.9:7	in	DeicticTime	I will be traveling in this area |in| the future and you can be assured that this experience will be helpful in my choice of hotels and Novotel will be my first selection .
ewtb.r.376503.1:4	for	Purpose	I interviewed several contractors |for| a kitchen remodel .
ewtb.r.376503.2:37	at	Goal	Liberty construction shows up and it 's two guys ... all I get is 100 % sales pitch " We 're the best ... we 're number 50 so we must be doing something right ... look |at| all these certificates that say we 're great " .
ewtb.r.376503.3:11	about	Stimulus	Not once did I feel listened to like they actually cared |about| what I wanted , all they were interested in was me signing a contract right then and there .
ewtb.r.376503.3:20	in	Topic	Not once did I feel listened to like they actually cared about what I wanted , all they were interested |in| was me signing a contract right then and there .
ewtb.r.376503.3:6	to	Stimulus	Not once did I feel listened |to| like they actually cared about what I wanted , all they were interested in was me signing a contract right then and there .
ewtb.r.376503.3:7	like	Comparison/Contrast	Not once did I feel listened to |like| they actually cared about what I wanted , all they were interested in was me signing a contract right then and there .
ewtb.r.376503.4:5	with	Attribute	Very high pressured sales and |with| the reviews of many others bad service .
ewtb.r.376503.4:8	of	Topic	Very high pressured sales and with the reviews |of| many others bad service .
ewtb.r.377347.11:12	like	Elements	By the way , Salmagundi ( the store name ) means something |like| smorgasbord ; potpourri ; motley ; variety ; mixed bag ; miscellaneous assortment ; mixture , a variety of many kinds of things .
ewtb.r.377347.11:31	of	Species	By the way , Salmagundi ( the store name ) means something like smorgasbord ; potpourri ; motley ; variety ; mixed bag ; miscellaneous assortment ; mixture , a variety |of| many kinds of things .
ewtb.r.377347.11:34	of	Species	By the way , Salmagundi ( the store name ) means something like smorgasbord ; potpourri ; motley ; variety ; mixed bag ; miscellaneous assortment ; mixture , a variety of many kinds |of| things .
ewtb.r.377347.1:2	with	Attribute	Craft Wonderland |with| History
ewtb.r.377347.12:2	for	Function	Great name |for| a great store !
ewtb.r.377347.4:11	for	Function	I am doing origami jewelry and found exactly the right things |for| earrings and got many other ideas there too .
ewtb.r.377347.5:18	to	Co-Theme	I bought a beginner s quilling set and like making the filigree forms you can make and add |to| other crafts .
ewtb.r.377347.8:12	with	Attribute	She is a super sweet , lovable and well - informed woman |with| a great sense of humor .
ewtb.r.377347.9:17	of	Possessor	I really enjoyed meeting her and happy to learn she comes from Oklahoma and has the values |of| a solid no bs country girl .
ewtb.r.379701.3:4	to	Recipient	Would 100 % recomend |to| others for a great service .
ewtb.r.379701.3:6	for	Explanation	Would 100 % recomend to others |for| a great service .
ewtb.r.380048.6:3	for	Reciprocation	Thank - You |for| sharing your cottage !
ewtb.r.381455.4:10	for	Function	You order at the counter and there is a space |for| tip on your credit card receipt .
ewtb.r.381455.4:12	on	Location	You order at the counter and there is a space for tip |on| your credit card receipt .
ewtb.r.381455.4:2	at	Location	You order |at| the counter and there is a space for tip on your credit card receipt .
ewtb.r.381455.6:13	out ta	InitialLocation	If this is the best that Tucson has to offer , I am |out| |ta| here ...
ewtb.r.382073.2:5	as	Explanation	I came upon this store |as| the building caught my eye .
ewtb.r.382073.3:11	by	Location	It 's located in the huge HONKA Log Homes building , |by| Walmart off of Evergreen Parkway .
ewtb.r.382073.3:13	off	Location	It 's located in the huge HONKA Log Homes building , by Walmart |off| of Evergreen Parkway .
ewtb.r.382073.3:14	of	Location	It 's located in the huge HONKA Log Homes building , by Walmart off |of| Evergreen Parkway .
ewtb.r.382073.3:3	in	Location	It 's located |in| the huge HONKA Log Homes building , by Walmart off of Evergreen Parkway .
ewtb.r.382073.4:4	with	Theme	The store was decorated |with| furnishings & accessories .
ewtb.r.382073.8:12	to	Co-Theme	It's durability & look was perfect and I will definitely be adding |to| my collection soon !
ewtb.r.382257.2:14	in	DeicticTime	Excellent service , Not only did they get the exact car I wanted win |in| 48 hours but the sales man also took me out to lunch .
ewtb.r.382257.2:25	to	Destination	Excellent service , Not only did they get the exact car I wanted win in 48 hours but the sales man also took me out |to| lunch .
ewtb.r.382257.4:12	on	Topic	I highly recommend this dealership if you would not like to hassle |on| price and receive friendly service .
ewtb.r.382257.5:14	from	Donor/Speaker	I have since purchased two cars from this dealership , The first one was |from| Phillip and the second was from Richard .
ewtb.r.382257.5:2	since	RelativeTime	I have |since| purchased two cars from this dealership , The first one was from Phillip and the second was from Richard .
ewtb.r.382257.5:20	from	Donor/Speaker	I have since purchased two cars from this dealership , The first one was from Phillip and the second was |from| Richard .
ewtb.r.382257.5:6	from	Donor/Speaker	I have since purchased two cars |from| this dealership , The first one was from Phillip and the second was from Richard .
ewtb.r.384229.2:2	with	ProfessionalAspect	I was |with| verizon and I checked my service with tmobile and it was great so I thought I would try tmobile .
