,,P,lemma,v2 Scene Role,v2 Prep Function,
ewtb.r.376320.7:7,@ablodgett,to,,EndTime,,From my first encounter at check in |to| my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.377347.5:18,@ablodgett,to,,Co-Theme,,I bought a beginner s quilling set and like making the filigree forms you can make and add |to| other crafts .
ewtb.r.382073.8:12,@ablodgett,to,,Co-Theme,,It's durability & look was perfect and I will definitely be adding |to| my collection soon !
ewtb.r.385281.2:26,@ablodgett,to,,Stimulus,,"I 'm 22 , and my hairdresser was great ( and not "" old "" like one of the reviews says ) - she really listened |to| what I wanted and gave me tons of tips on how to style my hair so I could get it to look the way I wanted it to ."
ewtb.r.389298.4:5,@ablodgett,to,,Recipient,,I highly recommend Garage Pros |to| my friends .
ewtb.r.391012.7:3,@ablodgett,to,,Recipient,,I 've spoken |to| vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.391012.7:52,@ablodgett,to,,Purpose,,I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more |to| hurt their business than help them .
ewtb.r.394662.3:7,@ablodgett,to,,Function,,They had a great selection of colors |to| choose from and their seats are super comfty .
ewtb.r.396874.2:7,@ablodgett,to,,Destination,,I spent 3 months going from shop |to| shop trying to get my Ferrari to run and drive the way it should .
ewtb.r.398243.8:12,@ablodgett,to,,Purpose,,"Also , a week after the work , Phet called me up |to| see how my car was running and to let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.398243.8:20,@ablodgett,to,,Purpose,,"Also , a week after the work , Phet called me up to see how my car was running and |to| let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.371300.5:7,@ablodgett,to go,,Manner,,I was told to take my coffee |to| |go| if I wanted to finish it .
ewtb.r.053248.9:10,@ablodgett,together,,Manner,,"Then again , for the three of us who dined |together| , two pieces of flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces of flatbread did represent a three - person order ) ."
ewtb.r.348247.7:16,@ablodgett,together,,Co-Agent,,"They have been my only "" go - to "" resource since we first did business |together| ."
ewtb.r.229623.2:4,@ablodgett,too,,Extent,,"While there was n't |too| much available for their age ( ball pit , bouncy area and a little padded pyramid to climb on ) , we went right when they opened at 10 am on a winter weekday and ended up being the only ones there , so we were given a little more liberty than we would have if others had been there ."
ewtb.r.117115.9:43,@ablodgett,under,,State,,"I called Home - Excel the next day to order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered |under| their guarentee ."
ewtb.r.268673.3:13,@ablodgett,under,,Location,,To my surprise $ 20 deposit .... New movies not on shelf .. |under| the counter for Telugu Speaking people only ... or people who spend $ 30 or more groceries ..
ewtb.r.156953.3:10,@ablodgett,until,,EndTime,,I go to school in the area and usually wait |until| I go home to get my hair cut .
ewtb.r.156953.8:11,@ablodgett,until,,EndTime,,Usually they blow dry it out and i have to wait |until| i wash it to see what it will look like in its natural state .
ewtb.r.164805.8:7,@ablodgett,until,,EndTime,,Fair give and take on both sides |until| we agreed on a deal that was within my parameters and was fair to both sides .
ewtb.r.202402.2:10,@ablodgett,until,,EndTime,,"When my server crashed , Greg worked from 7 PM |until| 4 AM and had my company up and running the next morning ."
ewtb.r.211797.6:9,@ablodgett,until,,EndTime,,"They said they were "" unable to tell me |until| they ordered my dress "" ."
ewtb.r.363685.10:25,@ablodgett,until,,EndTime,,"Finally a chambermaid stuck her head around the corner from the top of the stairs and told us sternly that we could not be accommodated |until| 3 M , no exceptions ."
ewtb.r.314974.4:22,@ablodgett,up,,Direction,,"If you can not park in the lot , then you can park in the shopping center 's garage , and walk |up| to Endo Sushi ."
ewtb.r.351058.4:5,@ablodgett,up,,Location,,"i had to call back |up| there two hours later and the lady ( who claimed to be a manager ) said my food was on the way , and she did nt offer to compensate me in any kind of way ."
ewtb.r.202402.2:17,@ablodgett,up and running,,?State,,"When my server crashed , Greg worked from 7 PM until 4 AM and had my company |up| |and| |running| the next morning ."
ewtb.r.369087.7:4,@ablodgett,up to date,,State,,The advisor kept me |up| |to| |date| and informed on the progress of my vehicle .
ewtb.r.036133.13:9,@ablodgett,upon,,Time,,"I came back with the receipt Ahmed had provided |upon| my purchase , and the guy took forever to copy it but said that he would take care of the situation ."
ewtb.r.048363.9:11,@ablodgett,upon,,Time,,My heart pounded as I walked down and pounded even faster |upon| seeing Gerry in an SUV - Lexus !
ewtb.r.235423.4:6,@ablodgett,upon,,Time,,"I called in my order and |upon| arriving to pick it up , they got my order confused with someone else s ."
ewtb.r.363685.8:1,@ablodgett,upon,,Time,,However |upon| our arrival no one there ( the inn was open ) .
ewtb.r.018548.5:16,@ablodgett,ur,your,Possessor,Possessor,"also , you can call em ahead of time , and then go to pick up |ur| food , or have it delivered ** ."
ewtb.r.263630.6:9,@ablodgett,via,,Via,,"Not only that , but he told us , |via| his manager , that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time to stop the kids ."
ewtb.r.004940.2:6,@ablodgett,with,,?Attribute,,We were looking for a company |with| decent rates as our company was just getting started .
ewtb.r.008585.2:10,@ablodgett,with,,Accompanier,,I was recently traveling down I - 24 from Nashville |with| my 3 young children and had a blowout on the southeast side of Murfreesboro .
ewtb.r.010433.4:3,@ablodgett,with,,Recipient,,Never checked back |with| us once we got our food .
ewtb.r.018465.8:16,@ablodgett,with,,Attribute,,"What was I supposed to do , say I ca n't afford you and walk out |with| crap all over my hair ."
ewtb.r.018562.7:18,@ablodgett,with,,Co-Agent,,"My grandfather passed away silently in his sleep , and my grandmother passed away after a short struggle |with| cancer ."
ewtb.r.022533.6:8,@ablodgett,with,,Theme,,I do n't want to waste my time |with| them .
ewtb.r.026883.3:2,@ablodgett,with,,Stimulus,,My experience |with| Home Delivery Service has been one of disappointment and anger .
ewtb.r.034501.6:15,@ablodgett,with,,Co-Agent,,"Cards , wrapping paper , paper , and an area to sit down and talk |with| someone to design your own invitations or for whatever else your custom printing needs may be ."
ewtb.r.034813.3:5,@ablodgett,with,,Attribute,,"This place is awesome , |with| a great ambiance and cool decor , and the food is scrumptious ( and especially their signature banana split ) ."
ewtb.r.036133.13:3,@ablodgett,with,,Accompanier,,"I came back |with| the receipt Ahmed had provided upon my purchase , and the guy took forever to copy it but said that he would take care of the situation ."
ewtb.r.036753.12:5,@ablodgett,with,,Instrument,,Buy your kids somethin nice |with| my 2 k bucks .
ewtb.r.042416.7:25,@ablodgett,with,,Co-Agent,,"We can not wait to go back to Santa Fe and to this great B&B ... especially my 4 year old , who made friends |with| Ms. Sue and all the ladies , and has talked about them since we left !"
ewtb.r.045972.2:13,@ablodgett,with,,Stimulus,,I just wanted to try your clinic because I was not totally happy |with| my current therapist I regularly see .
ewtb.r.048363.17:12,@ablodgett,with,,Stimulus,,"Gerry , I ca n't thank you enough for helping me cope |with| my fear ."
ewtb.r.048363.7:23,@ablodgett,with,,Co-Theme,,I had to cancel my initial lesson 4 times and on the 5th attempt the management was quick enough to associate my cancellations |with| my fear and finally encouraged me into taking my initial lesson .
ewtb.r.053248.23:21,@ablodgett,with,,Stimulus,,"Did they think we were going to feel lucky to get any reservation at all , and therefore be more pleased |with| our dining experience ?"
ewtb.r.053248.3:19,@ablodgett,with,,Attribute,,"The truth is , in my and my dining partners ' experience , this is a fine little restaurant |with| some unique food ."
ewtb.r.059005.5:6,@ablodgett,with,,Stimulus,,I have never had a problem |with| their hours because I always go during the mornings .
ewtb.r.071278.5:20,@ablodgett,with,,Accompanier,,She has taken care of my sweet girl for almost 4 years now and I would not let Gracee go |with| anyone besides her !!!
ewtb.r.072507.4:31,@ablodgett,with,,Manner,,"In just 2 - 3 focused lessons , I 'm already now capable of picking up new songs off YouTube guitar how to videos and am even writing my own orginals |with| confidence !"
ewtb.r.077298.2:9,@ablodgett,with,,Attribute,,I 'm not interested in shopping in a place |with| people like her ... she refused to sell me the item at its marked price even after admitting they had made a mistake .
ewtb.r.081934.3:2,@ablodgett,with,,ProfessionalAspect,,I work |with| him and since past 6 years he is hosting his websites to Liquidweb .
ewtb.r.083454.1:18,@ablodgett,with,,Co-Agent,,"I did n't end up buying my car here , but I did think the guy who worked |with| me was pretty cool - he was willing to budge a little on the price which means a lot to me ."
ewtb.r.083454.2:6,@ablodgett,with,,Theme,,"Also they will fill your tires |with| air and other small maintenance tasks for free , even if you did n't buy your car there !"
ewtb.r.087368.2:17,@ablodgett,with,,Beneficiary,,My pharmacy order is always correct and promptly delivered but the pharmacy staff are always very short |with| me and do n't seem to like answering questions .
ewtb.r.088954.1:13,@ablodgett,with,,Topic,,A thoroughly comprehensive service ; excellent communication and best of they are transparent |with| their fee ( ie nothing is simply implied or assumed ) .
ewtb.r.093655.7:14,@ablodgett,with,,Accompanier,,"I was a waitress for years and a key rule is to serve customers |with| small children before others , as I was the last to get my food ."
ewtb.r.095040.3:2,@ablodgett,with,,Co-Agent,,"She worked |with| us for over a year , helping us find our perfect home ."
ewtb.r.101972.8:11,@ablodgett,with,,Manner,,"I had to ask the greeter , he explained his reasons |with| broken English ."
ewtb.r.107608.3:21,@ablodgett,with,,Circumstance,,"The team who work there are helpfull , friendly and extremely knowledgeable and will help you as much as they can |with| thier years of hands on practice ."
ewtb.r.112579.7:6,@ablodgett,with,,Attribute,,"They have a great lunch special |with| your choice of meat , chicken , steak , or pork and rice and black beans and fried plantains ."
ewtb.r.112661.4:4,@ablodgett,with,,Accompanier,,Brought my wife Deb |with| me and she like the Fried Crab Wontons and said they were good ..
ewtb.r.118718.4:3,@ablodgett,with,,Theme,,They were accomdating |with| my scheduled and work with my insurance to get payment for the surgery .
ewtb.r.118718.4:8,@ablodgett,with,,Co-Agent,,They were accomdating with my scheduled and work |with| my insurance to get payment for the surgery .
ewtb.r.118718.5:11,@ablodgett,with,,Beneficiary,,Dr. Wallen explained the procedure in detail and took his time |with| me .
ewtb.r.121556.3:4,@ablodgett,with,,Stimulus,,I was very pleased |with| my experience here .
ewtb.r.122882.2:13,@ablodgett,with,,Theme,,"Buddakan inevitably attracts the majority of its guests simply because of its association |with| Steven Starr , but that does n't impress me ."
ewtb.r.124163.5:13,@ablodgett,with,,Stimulus,,"In addition to the core treatment , Dr Nelson has impressed me further |with| his concern and interest in the well - being of his patients - his dental work underpinned by a strong duty of care to every patient ."
ewtb.r.127252.2:8,@ablodgett,with,,Theme,,I 've had writer friends describe horror stories |with| their printers .
ewtb.r.131458.4:5,@ablodgett,with,,Stimulus,,I have been extremely pleased |with| the signs and pop - up banners she has supplied to me over the years - a truly first class family business run by Tina and her husband Chris .
ewtb.r.131965.2:41,@ablodgett,with,,?Attribute,,"We at R&L Plumbing Services are pleased with your professionalism and the extra mile you went to get out computers working correctly , you will be our first call if anything happens again and we will refer you to other people |with| computer issues ."
ewtb.r.134622.1:17,@ablodgett,with,,Stimulus,,We just got our sunroom built by Patio World and can say that I 'm extremely happy |with| the whole thing .
ewtb.r.135800.10:7,@ablodgett,with,,Accompanier,,They still would not drive the car |with| me to show their mpg number .
ewtb.r.135800.4:8,@ablodgett,with,,Circumstance,,"However , they would never drive the car |with| me in it to prove their findings ."
ewtb.r.140302.2:24,@ablodgett,with,,Stimulus,,"I took my Mustang here and it looked amazing after they were done , they did a great job , I 'm very satisfied |with| the results ."
ewtb.r.156953.7:10,@ablodgett,with,,Circumstance,,It was the first time i had left a salon |with| my hair curly .
ewtb.r.158335.6:7,@ablodgett,with,,Circumstance,,"grey shirt "" mark "" of course |with| this type behavior he could have been wearing someon else s clothing ....."
ewtb.r.160442.3:6,@ablodgett,with,,Theme,,They did a very bad job |with| my hair and were extremely rude when I went back to ask them why it did n't work for my hair .
ewtb.r.162567.2:3,@ablodgett,with,,ProfessionalAspect,,I have worked |with| Shannon as my massage therapist and intuitive bodyworker for years and have never been disappointed .
ewtb.r.162567.4:22,@ablodgett,with,,ProfessionalAspect,,"She has not only helped me through some challenging computer - work and sports related injuries , she was wonderful to work |with| throughout my pregnancy and beyond ."
ewtb.r.162702.2:23,@ablodgett,with,,ProfessionalAspect,,I was soooo lucky to have used Marlon 's photography services .... such a creative and talented photographer and a pleasure to work |with| .
ewtb.r.164805.10:24,@ablodgett,with,,Stimulus,,"I have purchased over 15 vehicles ( cars , rvs , and boats ) in my lifetime and I have to say the experience |with| Michael and Barrett Motor Cars of San Antonio was one of the best ."
ewtb.r.164805.3:7,@ablodgett,with,,Beneficiary,,Michael Chestney was very pleasant and patient |with| my wife and she suggested I go check it out .
ewtb.r.165018.4:20,@ablodgett,with,,Attribute,,"I was then moved to another room around the back where the room was dirty , the shower was dirty |with| other people s hair in it , the toilet seat was peeling and rough and the bathroom was full of mould ."
ewtb.r.171255.2:4,@ablodgett,with,,Manner,,They treat there employees |with| respect and concern and expect that they will extend the same politeness to there customers .
ewtb.r.178726.3:11,@ablodgett,with,,Stimulus,,I went to this urgent care center and was blown away |with| their service .
ewtb.r.181771.4:6,@ablodgett,with,,ProfessionalAspect,,I asked her who she worked |with| and she just told me ti was the sales manager .
ewtb.r.181771.7:14,@ablodgett,with,,Co-Agent,,I thouhgt it would be out of my price range but they really worked |with| me and now I could nt be happier .
ewtb.r.186235.1:12,@ablodgett,with,,Theme,,"wow , the representative went way above and beyond in helping me |with| my account set up ."
ewtb.r.188548.6:17,@ablodgett,with,,Co-Agent,,"The person went to go check with the manager , who was sitting at a table chatting |with| her friends who were eating there ."
ewtb.r.188548.6:6,@ablodgett,with,,Recipient,,"The person went to go check |with| the manager , who was sitting at a table chatting with her friends who were eating there ."
ewtb.r.190256.2:4,@ablodgett,with,,Theme,,I had a problem |with| the tile in my bathroom coming apart .
ewtb.r.192737.3:15,@ablodgett,with,,Theme,,"His knowledge and expertise help smooth the way with any planning application , ensuring compliance |with| the building regulations ."
ewtb.r.192737.3:8,@ablodgett,with,,Instrument,,"His knowledge and expertise help smooth the way |with| any planning application , ensuring compliance with the building regulations ."
ewtb.r.194316.6:24,@ablodgett,with,,?Attribute,,I just discovered her has a place right near my work ( Color me Phat ) If you are looking for a romatic place |with| the best food and service in the valley Giovanni Ristorante should be your number 1 + 2 choice .
ewtb.r.194830.2:7,@ablodgett,with,,Attribute,,The First time I walked in there |with| my teacup chihuahua puppy I knew I 'd be here a lot .
ewtb.r.200429.3:37,@ablodgett,with,,Co-Agent,,"I explained that i was already on my way and i would rush to get there as soon as i could because i needed my car for work at 5 am , but the guy was arguing |with| me saying he was gon na lock the doors right at 5:30 ."
ewtb.r.206303.4:18,@ablodgett,with,,Stimulus,,"She really listens to what it is you would like to achieve , and I am very happy |with| my results ."
ewtb.r.211797.14:44,@ablodgett,with,,Topic,,"Somehow , since she supposedly does n't know any names of designers / dresses , after I told her the designer and dress name of the one I was comparing , she knew "" exactly which dress "" I was referring to and disagreed |with| my observation ; she said that the bodice did come as low as the one I had on ."
ewtb.r.211797.15:15,@ablodgett,with,,Co-Agent,,"My point : Even if I was wrong , do n't sit there and argue |with| the customer ."
ewtb.r.211797.5:18,@ablodgett,with,,Co-Theme,,"So , as I was leaving I asked for the designer / dress name or style number associated |with| my top picks ."
ewtb.r.217359.5:11,@ablodgett,with,,Instrument,,They make up excuses in hopes to confuse their policy holders |with| misinformation .
ewtb.r.219262.6:8,@ablodgett,with,,Theme,,"If you need someone to help you out |with| your heating problems , I DEFINITELY would call TIGER HEATING and AIR ."
ewtb.r.228731.1:12,@ablodgett,with,,ProfessionalAspect,,"prepared the road test with a driving ... prepared the road test |with| a driving school in edmonton , but my instructor only trained me in a narrow street , hence I took one 90 minute lesson from the Noble driving school to learn the skill of changing lane , and found them very friendly and professional ."
ewtb.r.228731.1:4,@ablodgett,with,,ProfessionalAspect,,"prepared the road test |with| a driving ... prepared the road test with a driving school in edmonton , but my instructor only trained me in a narrow street , hence I took one 90 minute lesson from the Noble driving school to learn the skill of changing lane , and found them very friendly and professional ."
ewtb.r.229410.3:16,@ablodgett,with,,Stimulus,,"He was referred to me by a friend , who did n't have the best experience |with| Ted , but said that Ted was able to make up for his lack of preparedness at the end ."
ewtb.r.232157.7:12,@ablodgett,with,,Means,,I really appreciate BJ s for making that special day even better |with| their wonderful food and service .
ewtb.r.235211.5:14,@ablodgett,with,,Beneficiary,,We have had many conversations with them and they have always been extremely patient |with| me as I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.235211.5:5,@ablodgett,with,,Co-Agent,,We have had many conversations |with| them and they have always been extremely patient with me as I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.235423.4:18,@ablodgett,with,,Co-Theme,,"I called in my order and upon arriving to pick it up , they got my order confused |with| someone else s ."
ewtb.r.236648.2:10,@ablodgett,with,,Attribute,,Walked in and was out ta there in 10 mins |with| a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.236648.2:31,@ablodgett,with,,Circumstance,,Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but |with| my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.245160.5:2,@ablodgett,with,,Stimulus,,"my experience |with| them was great - low stress , very helpful and very personal ."
ewtb.r.248027.4:6,@ablodgett,with,,Circumstance,,"Tonight , I called several times |with| no answer ( Btwn 5:30 and 6 pm ) and finally drove there to place my order in person ."
ewtb.r.249123.3:7,@ablodgett,with,,Attribute,,Another person in the store stood there |with| an item and repeatedly tried to get a sales person s attention .
ewtb.r.262441.1:35,@ablodgett,with,,Theme,,"I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me |with| plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor ."
ewtb.r.263870.4:0,@ablodgett,With,,Circumstance,,"|With| a Pizza Hut , IHOP , 3 Starbucks , Chili s , Panera , and Chipotle on campus ALONE , VCU has some of the best eating options for students ."
ewtb.r.272836.3:9,@ablodgett,with,,Co-Agent,,The white pages allowed me to get in touch |with| parents of my high school friends so that I could track people down one by one and the restaurant section is basically my cookbook .
ewtb.r.278775.10:14,@ablodgett,with,,ProfessionalAspect,,"Finally , it must be said that Stuart is a fantastic person to work |with| , because of his solid strategies and equally as importantly because he is a genuinely good person and a great communicator ."
ewtb.r.278775.8:5,@ablodgett,with,,ProfessionalAspect,,"Well we have been working |with| Ulistic for 1.5 months , and have 100 people following our site on Facebook , and our web site , www.designofashion.com has seen a 3 fold increase in traffic , which is significantly beating our expectations - SEO is a process that takes time and to get results this quickly is exceptional ."
ewtb.r.280844.7:16,@ablodgett,with,,Theme,,The sessions were nice and I felt relaxed after them but did not notice any changes |with| my cycles .
ewtb.r.287454.4:7,@ablodgett,with,,?Attribute,,The atmosphere is your typical indie outfit |with| old movie posters and memorabilia from the 70's and 80's .
ewtb.r.290594.14:5,@ablodgett,with,,Topic,,"Be a little more reasonable |with| your expectations of a place like this ; and maybe do n't jump to personal attacks suggesting that they do n't want to work hard , just because you bruised your own ego ."
ewtb.r.290594.9:26,@ablodgett,with,,Theme,,"You say you work a lot , and that you have a young dog ; so I have little doubt that your dog is just filled |with| energy to burn ; and it is good of you to look for a place to take him ."
ewtb.r.291088.2:13,@ablodgett,with,,Stimulus,,I have visited Dr. Cooper 's office twice and I am very impressed |with| how friendly and polite the staff is .
ewtb.r.294081.12:17,@ablodgett,WITH,,Circumstance,,"I WAS ALSO THERE OF JULY 4TH 2008 , WHEN MY DAUGHTER S BUFFALO WINGS CAME OUT |WITH| A FLY ON IT ."
ewtb.r.308088.3:5,@ablodgett,WITH,,Co-Agent,,"I MAKE MONEY NOT DEAL |WITH| BROKERS "" Wow , can you believe in today s tough times this dealership would be looking for any way to move vehicles ."
ewtb.r.310018.3:5,@ablodgett,with,,Stimulus,,You will not be disappointed |with| her work !!
ewtb.r.310032.5:14,@ablodgett,with,,ProfessionalAspect,,"I am waiting longer at BNA for my pickups and last time I parked |with| them , they lost my car key ."
ewtb.r.311138.2:6,@ablodgett,with,,Co-Theme,,"A lack of organisation , coupled |with| the distain for its customers , makes this the worst rental agency I have used ."
ewtb.r.317846.4:13,@ablodgett,with,,Circumstance,,"Best of all , the staff is quick on their feet and even |with| long lines , usually serve you in 5 minutes or less ."
ewtb.r.319816.10:6,@ablodgett,with,,Attribute,,"The following Friday , I returned |with| my car to go ahead and replace the other 3 tires , which were worn ."
ewtb.r.319816.25:42,@ablodgett,with,,Circumstance,,"Of course , they could n't call him either to ask about it because apparently they do n't keep their employees ' phone numbers ( riiight ) , so I would have to return on Monday ( driving for 3 days now |with| no wheel lock should I get a flat ) ."
ewtb.r.324337.3:4,@ablodgett,with,,Stimulus,,I 'm compeltly dissatisfied |with| their service and their products .
ewtb.r.332476.4:6,@ablodgett,with,,ProfessionalAspect,,"She was way easy to work |with| and made my wedding day so easy and she got some amazing pictures , not only of me , but of my family and friends ."
ewtb.r.333243.10:20,@ablodgett,with,,Circumstance,,"Last year , after all was said and done , I asked Rod whether my payment structure would leave me |with| no / little tax liability at the end of the year ."
ewtb.r.333243.2:1,@ablodgett,with,,ProfessionalAspect,,"Working |with| Rod Jacobsen was my first experience working with a CPA , so I did not know what to expect ."
ewtb.r.333243.2:9,@ablodgett,with,,Co-Agent,,"Working with Rod Jacobsen was my first experience working |with| a CPA , so I did not know what to expect ."
ewtb.r.345182.15:0,@ablodgett,With,,Circumstance,,|With| a smirk on her face she told me NO MONEY IS BEING RETURNED and THAT IS THE WAY IT WAS .
ewtb.r.351058.6:19,@ablodgett,with,,Stimulus,,"in my opinon this place should be shut down by the health inspector , and anyone who is satisfied |with| there service and food has never eaten at a real asian restaurant ."
ewtb.r.354860.2:3,@ablodgett,with,,Co-Agent,,"From first meeting |with| them to launch of my website , everything went smooth and on schedule ."
ewtb.r.360937.5:24,@ablodgett,with,,Stimulus,,"After my sampler & sandwich , I asked for a pint of there Nitrogen Love Stout , I must say I was impressed , |with| the great taste & I am a Guiness Lover so coming from me , I think this is better , it s less dry & smoother !"
ewtb.r.361316.4:10,@ablodgett,with,,Manner,,Once they fixed it they answetred all of my questions |with| no hesitations and then gave me the best quote ever .
ewtb.r.363685.12:17,@ablodgett,with,,Attribute,,"We returned after 3 PM , found no one there , and a note from the innkeeper |with| directions to our room ."
ewtb.r.363685.14:12,@ablodgett,with,,Attribute,,"If they think you 've taken a soda from your room home |with| you , they will charge you $ 1.50 per can ."
ewtb.r.372665.3:6,@ablodgett,with,,Accompanier,,Glad I called before I arrived |with| my box to ship .
ewtb.r.376320.8:11,@ablodgett,with,,Stimulus,,I completely enjoyed my whole check in experience and was impressed |with| the friendliness and professionalism of the staff as well as the accommodations themselves .
ewtb.r.384229.2:2,@ablodgett,with,,ProfessionalAspect,,I was |with| verizon and I checked my service with tmobile and it was great so I thought I would try tmobile .
ewtb.r.384229.2:9,@ablodgett,with,,ProfessionalAspect,,I was with verizon and I checked my service |with| tmobile and it was great so I thought I would try tmobile .
ewtb.r.396880.2:9,@ablodgett,with,,Co-Agent,,"I tried to stay here for a few nights |with| my girlfriend , so we asked for a single queen bed ."
ewtb.r.398152.4:17,@ablodgett,with flying colors,,Manner,,"Ten minutes later , I took my car down the street and it passed the emissions test |with| |flying| |colors| ."
ewtb.r.235576.4:12,@ablodgett,with good reason,,Explanation,,T 's has been a North County landmark for thirty years and |with| |good| |reason| .
ewtb.r.008585.5:13,@ablodgett,within,,DeicticTime,,"They tracked down the only tire that fit my BMW 330i in Murfreesboro |within| minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire ."
ewtb.r.036133.6:11,@ablodgett,within,,DeicticTime,,Well they came through and delivered almost all of my items |within| a few days .
ewtb.r.043020.5:0,@ablodgett,Within,,DeicticTime,,|Within| a week we noticed one of the boards on our gate splitting where a nail had gone in .
ewtb.r.055976.5:14,@ablodgett,within,,Locus,,I sincerely wonder if the doctor has a clue about what is going on |within| his practice .
ewtb.r.164805.8:15,@ablodgett,within,,Locus,,Fair give and take on both sides until we agreed on a deal that was |within| my parameters and was fair to both sides .
ewtb.r.216456.2:2,@ablodgett,within,,Location,,We live |within| 20 miles of the hotel and wanted to get away from our responsibilities for the night .
ewtb.r.306740.2:10,@ablodgett,within,,DeicticTime,,My son was able to advance a full two grades |within| 9 months !
ewtb.r.315763.7:3,@ablodgett,within,,Location,,"The apartments are |within| walking distance to Trader Joe 's , Whole Foods , and other stores ."
ewtb.r.326112.2:6,@ablodgett,within,,DeicticTime,,"I rang SRD PAT testing and |within| 3 hours Scot had come to my premises and PAT tested all my our Spill The Whisky barn dance band equipment , and supplied a certificate for only 70 p per unit ."
ewtb.r.008585.8:2,@ablodgett,without,,State,,"It 's |without| a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville 's price for putting on the other rear tire ."
ewtb.r.101972.6:21,@ablodgett,without,,Manner,,"However , we waited and waited and in the mean time , saw 4 groups of people simply just paraded in |without| signing there names ."
ewtb.r.117115.3:5,@ablodgett,without,,Circumstance,,"The excellent windows have performed |without| any problems , but that 's not why I 'm writing my review ."
ewtb.r.145645.2:18,@ablodgett,without,,Attribute,,can ever & never forget the training undergone here which made my life step onto the successful job |without| any hurdles .
ewtb.r.211797.7:31,@ablodgett,without,,Attribute,,"Hmmm ... A person can not call a company , if you have no idea its name ( since the designer is unknown ... SUPPOSEDLY ) , and order a gown |without| a dress name or style number ."
ewtb.r.330966.4:11,@ablodgett,without,,Accompanier,,"I have never considered this a real problem as I travel |without| kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.210019.6:7,@ablodgett,you,your,SocialRel,Possessor,Helen is a wonderful place to take |you| family .
ewtb.r.217747.4:0,@ablodgett,You,your,SocialRel,Possessor,"|You| company and services will be recommended by us to everyone . """
ewtb.r.275595.3:14,@ablodgett,you,your,Gestalt,Possessor,and hopefully you do not know the same people because he tells others about |you| payment status .
ewtb.r.005636.4:18,@ablodgett,your,your,Whole,Possessor,This is the most humble gym you will every step into .... if you dare to work on |your| body do n't be surprised when you see how addicting going to FITNESS UNLIMITED can be !!
ewtb.r.007403.8:1,@ablodgett,your,your,Agent,Possessor,Schedule |your| first appointment online !
ewtb.r.008585.7:12,@ablodgett,your,your,SocialRel,Possessor,Thanks Bud for all of your help and taking time away from |your| family that evening .
ewtb.r.008585.7:5,@ablodgett,your,your,Agent,Possessor,Thanks Bud for all of |your| help and taking time away from your family that evening .
ewtb.r.010820.11:12,@ablodgett,your,your,Possessor,Possessor,You have to pay CASH ONLY before they start unloading track on |your| destination .
ewtb.r.010820.2:36,@ablodgett,your,your,Possessor,Possessor,When the guys arrived ( 2 hours later than agreed ) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $ 100 for them to drive back from |your| destination .
ewtb.r.011257.8:5,@ablodgett,your,your,Agent,Possessor,Thanks Dan and Johnette for |your| responsiveness and professional service .
ewtb.r.018465.10:19,@ablodgett,your,your,Whole,Possessor,"The other stylists around me kept pressuring me saying he 's so wonderful , you 're going to love |your| hair ."
ewtb.r.018465.5:12,@ablodgett,your,your,Possessor,Possessor,"I never got a price quote over the phone and they take |your| cc info just to make the appointment because if you do n't show up , they 'll charge you ."
ewtb.r.018562.9:5,@ablodgett,your,your,Agent,Possessor,Thank you Mike for all |your| help professionally and personally .
ewtb.r.030126.6:16,@ablodgett,your,your,SocialRel,Possessor,"The education is horrible at best , do society a favor , and do NOT send |your| student here ."
