,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.190256.5:5,in,,,Duration,,Time,Interval,,,They had the work done |in| about half the time quoted which made me and my wife extremely happy .
ewtb.r.219262.5:3,in,,,Duration,,Time,Interval,,,John was here |in| 45 minutes after I called on a 10 below zero early Sunday morning .
ewtb.r.236648.2:7,in,,,Duration,,Time,Interval,,,Walked in and was out ta there |in| 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.319816.19:6,within,,,DeicticTime,achievement-preparation,Time,Interval,,,"They promised it 'd be done |within| an hour , so I waited in the lobby ."
ewtb.r.326112.2:6,within,,,DeicticTime,achievement-preparation,Time,Interval,,,"I rang SRD PAT testing and |within| 3 hours Scot had come to my premises and PAT tested all my our Spill The Whisky barn dance band equipment , and supplied a certificate for only 70 p per unit ."
ewtb.r.043020.5:0,Within,,,DeicticTime,,Time,Interval,,,|Within| a week we noticed one of the boards on our gate splitting where a nail had gone in .
ewtb.r.276689.4:11,at night,,,Time,,Time,not MWE,,,I 'm a single female and I feel safe coming home |at| |night| .
ewtb.r.006970.9:0,At one point,,,Time,,Time,not MWE,,,"|At| |one| |point| they told me the dog had been fixed , the next day it had n't ."
ewtb.r.043020.14:4,at this point,,,Time,,Time,not MWE,,,I 'm very frustrated |at| |this| |point| - it would take all of 10 min for them to come by and replace the one board that is cracked ( the crack is deep enough to stick a penny in it and it goes clear through ) yet they do not want to take the time to bother with what once WAS a happy customer and has now become a dissatisfied customer .
ewtb.r.103519.3:5,at this point,,,Time,,Time,not MWE,,,Like I 'm legitimately concerned |at| |this| |point| ... lol
ewtb.r.319816.16:8,at which point,,,Time,,Time,not MWE,,,"So I pointed this out to him , |at| |which| |point| he said they only had one of the correct tires in stock ."
ewtb.r.163703.2:10,at the last minute,,,Time,,Time,not MWE?,,,Cheap Hotel Rome - thanks for finding us a hotel |at| |the| |last| |minute| .
ewtb.r.225861.4:4,at times,,,Time,,Time,not MWE?,,,Okay our room was |at| |times| noisy but we were in a mega busy city at an extremely busy time of year .
ewtb.r.018548.13:3,between,,,RelativeTime,,Time,Whole,,,This was back |between| '05 and '09 and I do n't remember how many times we 've had it delivered .
ewtb.r.221664.2:17,of,,,Whole,ContainingTimePeriod,Time,Whole,,,"I brought a car in to have the "" check engine "" light diagnosed back in March |of| 2010 ."
ewtb.r.225861.2:13,of,,,Whole,ContainingTimePeriod,Time,Whole,,,My daughter and I stayed here again from the 7th to the 14th |of| December .
ewtb.r.018562.7:14,after,,,Explanation,"weakly causal, but struggle per se is not the cause",Time,,,,"My grandfather passed away silently in his sleep , and my grandmother passed away |after| a short struggle with cancer ."
ewtb.r.014483.2:0,After,,,RelativeTime,,Time,,,,|After| firing this company my next pool service found the filters had not been cleaned as they should have been .
ewtb.r.018465.7:0,After,,,RelativeTime,,Time,,,,"|After| he already put product on my hair he said "" I should warn you , I 'm expensive . """
ewtb.r.020992.7:0,After,,,RelativeTime,,Time,,,,"|After| checking for signs of fire or smoke and seeing none , I decided to just pack up and leave ."
ewtb.r.025894.3:5,after,,,RelativeTime,,Time,,,,One time we even left |after| sitting at the table for 20 minutes and not being greeted with a drink order .
ewtb.r.026883.12:0,After,,,RelativeTime,,Time,,,,"|After| complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and at some later point it would be returned ."
ewtb.r.034501.4:3,after,,,RelativeTime,,Time,,,,I popped in |after| my afternoon pumpkin spice latte break at Starbucks .
ewtb.r.055207.7:16,after,,,RelativeTime,,Time,,,,Not to mention the fact that they gave us our cats back not even 30 minutes |after| they were out from surgery .
ewtb.r.063347.4:0,After,,,RelativeTime,,Time,,,,"|After| a train ride over the mountains , we enjoyed hiking in the flower - filled Wenatchee hills ( in May ) and a very interesting bike ride in a loop around the Columbia River ... and then wine if we wanted it on the patio in the evening ...."
ewtb.r.071650.9:8,after,,,RelativeTime,,Time,,,,I was able to cancel it but only |after| paying a $ 50 fee ( which the staff person who signed me up stated I would not have to pay if I had proof of moving ) and being spoken to in a very belittling manner .
ewtb.r.077298.2:26,after,,,RelativeTime,,Time,,,,I 'm not interested in shopping in a place with people like her ... she refused to sell me the item at its marked price even |after| admitting they had made a mistake .
ewtb.r.085980.1:0,After,,,RelativeTime,,Time,,,,"|After| recently relocating to South Bend , we were looking for a delicious , fun , yet elegant establishment for New Year s Eve dinner ."
ewtb.r.085980.5:0,After,,,RelativeTime,,Time,,,,"|After| our meal , our server found us a table in the jazz club where we were informed it would be another $ 10 / person to stay and listen to the band , despite the fact we had just finished a dinner there and were intending to enjoy their drink list ."
ewtb.r.091704.3:3,after,,,RelativeTime,,Time,,,,"A couple days |after| the oil change , the engine ran rough , the low oil pressure light would come on sporadically , and the engine would whir loudly ."
ewtb.r.091704.6:4,after,,,RelativeTime,,Time,,,,All of this started |after| their oil change .
ewtb.r.095523.5:2,after,,,RelativeTime,,Time,,,,This was |after| I brought the car !!!! !
ewtb.r.114849.1:20,after,,,RelativeTime,,Time,,,,"Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon |after| order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested ."
ewtb.r.119026.1:43,after,,,RelativeTime,,Time,,,,"Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again |after| class is probably a question of practice ."
ewtb.r.122270.2:0,After,,,RelativeTime,,Time,,,,|After| I had chosen The Fountain Dental Practice they provided a slick and professional service from start to finish .
ewtb.r.130795.4:0,After,,,RelativeTime,,Time,,,,"|After| searching high and low for a salesman , I was treated like dirt , and we left ."
ewtb.r.133981.8:16,after,,,RelativeTime,,Time,,,,Our unit reeks of old cigarette smoke and it started to become apparent a few weeks |after| we moved in .
ewtb.r.140302.2:9,after,,,RelativeTime,,Time,,,,"I took my Mustang here and it looked amazing |after| they were done , they did a great job , I 'm very satisfied with the results ."
ewtb.r.149741.3:1,after,,,RelativeTime,,Time,,,,"Also |after| seeing a handful of bullfights , I can say that they 're a lot more enjoyable if you 're smashed ( BAC >= .15 ) ."
ewtb.r.150192.4:5,after,,,RelativeTime,,Time,,,,In fact my friend vomited |after| our meal .
ewtb.r.170650.7:4,after,,,RelativeTime,,Time,,,,I considered just leaving |after| going inside and nearly did .
ewtb.r.181748.8:0,After,,,RelativeTime,,Time,,,,"|After| that , I just tried to ignore his lack of professionalism and test drive the car ."
ewtb.r.211797.14:15,after,,,RelativeTime,,Time,,,,"Somehow , since she supposedly does n't know any names of designers / dresses , |after| I told her the designer and dress name of the one I was comparing , she knew "" exactly which dress "" I was referring to and disagreed with my observation ; she said that the bodice did come as low as the one I had on ."
ewtb.r.216456.6:7,after,,,RelativeTime,,Time,,,,I called them back a few hours |after| putting my Bodhi down and they still would n't budge .
ewtb.r.219262.5:6,after,,,RelativeTime,,Time,,,,John was here in 45 minutes |after| I called on a 10 below zero early Sunday morning .
ewtb.r.229410.5:2,after,,,RelativeTime,,Time,,,,"However , |after| giving a required $ 500.00 ( NON REFUNDABLE ) deposit before seeing any plans or ideas , I was sorry I did ."
ewtb.r.229480.5:1,after,,,RelativeTime,,Time,,,,"Even |after| my fusions , my back continued to hurt , but now it does n't hurt any more ."
ewtb.r.230176.5:4,after,,,RelativeTime,,Time,,,,And now 2 months |after| my last appointment I am better than ever .
ewtb.r.234261.4:9,after,,,RelativeTime,,Time,,,,We live in the sub-division around the corner and |after| it happened and we brought it up at some neighborhood gatherings we discovered that several people from this neighborhood alone had pets go to Dr. Mann for surgical procedures and came back dead .
ewtb.r.245160.6:0,after,,,RelativeTime,,Time,,,,|after| finding the car i wanted they took the time to go over each step and making it as painless as possible .
ewtb.r.247097.4:17,after,,,RelativeTime,,Time,,,,I experienced a Definite Decrease in food craving ( about 50 % ) and decrease in stress |after| the 1st treatment .
ewtb.r.247097.5:12,after,,,RelativeTime,,Time,,,,I actually loss 4 pounds after my 1st treatment and 2 pounds |after| my 2nd treatment .
ewtb.r.247097.5:5,after,,,RelativeTime,,Time,,,,I actually loss 4 pounds |after| my 1st treatment and 2 pounds after my 2nd treatment .
ewtb.r.247097.7:15,after,,,RelativeTime,,Time,,,,I am now more at peace and my food craving is about 99 % gone |after| only 3 treatments .
ewtb.r.247226.5:2,after,,,RelativeTime,,Time,,,,Going back |after| graduating you r told you get a discount on services nope you do nt .
ewtb.r.254908.3:0,After,,,RelativeTime,,Time,,,,"|After| they showed up there was a little trouble to get my car unlocked , it took quite a bit of time but the job was well done ."
ewtb.r.255261.6:11,after,,,RelativeTime,,Time,,,,"The pastor at this church is cool , I met him |after| some holiday service ."
ewtb.r.280844.7:8,after,,,RelativeTime,,Time,,,,The sessions were nice and I felt relaxed |after| them but did not notice any changes with my cycles .
ewtb.r.285133.1:8,after,,,RelativeTime,,Time,,,,Hair By Nivine in eastgardens fixed my hair |after| i had my hair cut and colored at another salon i felt more confident and the girls are fantastic and i ve been going there now for 2 years always happy and they care about my hair had my hair done for my wedding it looked fabolous !
ewtb.r.288100.5:20,after,,,RelativeTime,,Time,,,,"Also , I was promised to have my test results emailed to me , but it never happened , and |after| a few attempts to get Dr. Romanick on the phone to brief me on my condition , I finally gave up and went to a different doctor ."
ewtb.r.292997.5:27,after,,,RelativeTime,,Time,,,,"Also , if you are into wine , Alto has the depth of both region , varietal , and vintage to satisfy nearly any sommelier ( or |after| 9 pm , bring your own bottle for free ... no corking fee ! ) ."
ewtb.r.311138.3:29,after,,,RelativeTime,,Time,,,,"Chasing them on issues from the day I moved in ( many of them still unresolved as I left ) to all sorts of farcical issues with funds , |after| I left . . . . as soon as I could ."
ewtb.r.317594.4:0,After,,,RelativeTime,,Time,,,,|After| going through 5 other places I finally found Janice at Alta Moda .
ewtb.r.319816.14:12,after,,,RelativeTime,,Time,,,,"He said it was the same tire , and verified this , |after| checking both the actual tire on my car and my service papers from earlier in the week ."
ewtb.r.319816.2:0,After,,,RelativeTime,,Time,,,,"|After| happily visiting Sear's Automotives in the past , I was shocked at the horrible service received at their Greensboro location ."
ewtb.r.319816.21:3,after,,,RelativeTime,,Time,,,,"A few minutes |after| I left , I was called and informed that "" I "" left my wheel lock ( which they should have left in the car ) ."
ewtb.r.325292.2:19,after,,,RelativeTime,,Time,,,,I have been here 3 to 4 times and every time food they served seems warmed up not cooked |after| you order it .
ewtb.r.333243.10:3,after,,,RelativeTime,,Time,,,,"Last year , |after| all was said and done , I asked Rod whether my payment structure would leave me with no / little tax liability at the end of the year ."
ewtb.r.335225.2:0,After,,,RelativeTime,,Time,,,,"|After| my trees were cleaned up , they gave me a jar of salsa ."
ewtb.r.340848.10:7,after,,,RelativeTime,,Time,,,,A great place to go for dinner |after| a day of wine tasting .
ewtb.r.343813.3:3,after,,,RelativeTime,,Time,,,,Travelled 40 mins |after| calling to see if a product was in stock .
ewtb.r.351561.25:2,after,,,RelativeTime,,Time,,,,"Anyway , |after| much yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."
ewtb.r.360937.5:0,After,,,RelativeTime,,Time,,,,"|After| my sampler & sandwich , I asked for a pint of there Nitrogen Love Stout , I must say I was impressed , with the great taste & I am a Guiness Lover so coming from me , I think this is better , it s less dry & smoother !"
ewtb.r.363685.12:2,after,,,RelativeTime,,Time,,,,"We returned |after| 3 PM , found no one there , and a note from the innkeeper with directions to our room ."
ewtb.r.363685.17:10,after,,,RelativeTime,,Time,,,,"# ) If you want a late checkout , ( |after| 11 AM ) they charge you $ 15 for the first hour , $ 25 for the second hour , and after 2 PM it 's a full day charge ."
ewtb.r.363685.17:32,after,,,RelativeTime,,Time,,,,"# ) If you want a late checkout , ( after 11 AM ) they charge you $ 15 for the first hour , $ 25 for the second hour , and |after| 2 PM it 's a full day charge ."
ewtb.r.363873.4:20,after,,,RelativeTime,,Time,,,,"We were always having our water shut off , there were always people having parties at the pool , even |after| it was supposed to be closed ."
ewtb.r.364454.4:31,after,,,RelativeTime,,Time,,,,"Not only were my wife and I very pleased , but I also had the air duct quality tested professionally by the home inspector that I regularly use , before and |after| United Air Duct performed their work ."
ewtb.r.398243.8:4,after,,,RelativeTime,,Time,,,,"Also , a week |after| the work , Phet called me up to see how my car was running and to let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.010378.5:9,afterward,,,RelativeTime,,Time,,,,I learned more about this doing my own research |afterward| .
ewtb.r.018548.5:6,ahead of time,,,RelativeTime,,Time,,,,"also , you can call em |ahead| |of| |time| , and then go to pick up ur food , or have it delivered ** ."
ewtb.r.018562.3:7,apart,,,RelativeTime,,Time,,,,Both my grandparents passed away 4 months |apart| and Mike was very understanding .
ewtb.r.079375.3:2,around the clock,,,Time,,Time,,,,They worked |around| |the| |clock| to ensure that my puppy life was saved .
ewtb.r.048363.9:3,as,,,Time,,Time,,,,My heart pounded |as| I walked down and pounded even faster upon seeing Gerry in an SUV - Lexus !
ewtb.r.122270.3:26,as,,,Time,,Time,,,,"Everyone was friendly from the receptionist to the surgeon herself , putting me at my ease and explaining the whole process , both initially and then |as| we went along ."
ewtb.r.211797.5:2,as,,,Time,,Time,,,,"So , |as| I was leaving I asked for the designer / dress name or style number associated with my top picks ."
ewtb.r.311138.3:16,as,,,Time,,Time,,,,"Chasing them on issues from the day I moved in ( many of them still unresolved |as| I left ) to all sorts of farcical issues with funds , after I left . . . . as soon as I could ."
ewtb.r.048363.8:22,as soon as,,,Time,,Time,,,,"Five minutes before my initial lesson , I got a call from Gerry advising me of his arrival and to come down |as| |soon| |as| I was ready ."
ewtb.r.108338.5:2,as soon as,,,Time,,Time,,,,Moving out |as| |soon| |as| our lease is up .
ewtb.r.216456.4:9,as soon as,,,Time,,Time,,,,My friend called the hotel to cancel our room |as| |soon| |as| I called her .
ewtb.r.063963.2:8,at,,,Time,DIALECTAL,Time,,,,"I took my 3 year old son here |at| the weekend and to be honest , apart from the shark walkway , I thought it was rubbish and overpriced ."
ewtb.r.205014.3:6,at,,,Time,DIALECTAL,Time,,,,Very friendly and ALWAY contactable even |at| weekends .
ewtb.r.006970.2:3,at,,,Time,,Time,,,,We arrived Sunday |at| about 230 and found a do we really liked .
ewtb.r.008585.4:7,at,,,Time,,Time,,,,"Not only did they answer the phone |at| 4:50 on a Thursday , they hit the ground moving !."
ewtb.r.011257.4:8,at,,,Time,,Time,,,,I said great and Dan arrived on time |at| 10 am to make the repair .
ewtb.r.020992.3:0,At,,,Time,,Time,,,,"|At| 3:15 am on night # 2 , the fire alarm and strobe light activated in my room ."
ewtb.r.026883.12:40,at,,,Time,,Time,,,,"After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers |at| some future point and at some later point it would be professional repaired and at some later point it would be returned ."
ewtb.r.026883.12:45,at,,,Time,,Time,,,,"After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and |at| some later point it would be professional repaired and at some later point it would be returned ."
ewtb.r.026883.12:55,at,,,Time,,Time,,,,"After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and |at| some later point it would be returned ."
ewtb.r.035899.2:8,at,,,Time,,Time,,,,We walked in to pick our little man |at| 10 minutes to closing and heard laughter from kids and the staff .
ewtb.r.037794.1:2,at,,,Time,,Time,,,,We came |at| around 730 and they close at 8 and wanted to try the specials but they were out for the day so I would say go way before they close .
ewtb.r.037794.1:8,at,,,Time,,Time,,,,We came at around 730 and they close |at| 8 and wanted to try the specials but they were out for the day so I would say go way before they close .
ewtb.r.053248.22:3,at,,,Time,,Time,,,,"When we arrived |at| 5 , and left circa 7 , there were the same 4 or 5 empty tables surrounding us ."
ewtb.r.053248.5:9,at,,,Time,,Time,,,,"Now , the best of that unique food comes |at| the very beginning of the meal ."
ewtb.r.059088.3:12,at,,,Time,,Time,,,,If you mention the name Amir you will receive % 10 off |at| time of purchase
ewtb.r.086839.13:0,At,,,Time,,Time,,,,"|At| no time during the conversation did the words , "" I 'm sorry "" ever come out of his mouth ."
ewtb.r.118679.2:10,at,,,Time,,Time,,,,"Unfortunately , I 've given it a couple of tries |at| different times and decided to stop going ."
ewtb.r.156953.9:13,at,,,Time,,Time,,,,But she did a fabulous job letting me know what she was doing |at| all times and styled my hair in a way i could do it at home .
ewtb.r.162422.10:17,at,,,Time,,Time,,,,I called customer service about it because the website specifically states that there are no other charges |at| the check - in .
ewtb.r.200429.3:28,at,,,Time,,Time,,,,"I explained that i was already on my way and i would rush to get there as soon as i could because i needed my car for work |at| 5 am , but the guy was arguing with me saying he was gon na lock the doors right at 5:30 ."
ewtb.r.200429.3:48,at,,,Time,,Time,,,,"I explained that i was already on my way and i would rush to get there as soon as i could because i needed my car for work at 5 am , but the guy was arguing with me saying he was gon na lock the doors right |at| 5:30 ."
ewtb.r.215460.2:3,at,,,Time,,Time,,,,"Hopless service , |at| the time of booking my car a lot was promised but delivered not even one tenth of what was promised ."
ewtb.r.224117.1:10,at,,,Time,,Time,,,,Drove all the way over from the highway ... closed |at| 7 .
ewtb.r.225632.3:5,at,,,Time,,Time,,,,"We had relatively good facilities |at| the time -- decent science labs , with multiple hoods and access to good equipment ; nice gymnasiums , and a well - funded music department ( I was in the guitar ensemble ) ."
ewtb.r.225861.4:15,at,,,Time,,Time,,,,Okay our room was at times noisy but we were in a mega busy city |at| an extremely busy time of year .
ewtb.r.229410.3:33,at,,,Time,,Time,,,,"He was referred to me by a friend , who did n't have the best experience with Ted , but said that Ted was able to make up for his lack of preparedness |at| the end ."
ewtb.r.229623.2:32,at,,,Time,,Time,,,,"While there was n't too much available for their age ( ball pit , bouncy area and a little padded pyramid to climb on ) , we went right when they opened |at| 10 am on a winter weekday and ended up being the only ones there , so we were given a little more liberty than we would have if others had been there ."
ewtb.r.266591.5:5,at,,,Time,,Time,,,,"It is busy every day |at| lunch for a reason , the service is fast and the food is great ."
ewtb.r.325330.2:8,at,,,Time,,Time,,,,Overpriced and the doctor acted arrogant and rushed |at| a time when there was very few clients in the facility .
ewtb.r.333243.10:26,at,,,Time,,Time,,,,"Last year , after all was said and done , I asked Rod whether my payment structure would leave me with no / little tax liability |at| the end of the year ."
ewtb.r.342811.12:19,at,,,Time,,Time,,,,"When we called the front desk about an extremely boisterous crowd in the hall outside our door quite late |at| night , it seemed to take the hotel staff quite a while to quiet them down ."
ewtb.r.342811.4:28,at,,,Time,,Time,,,,"Got put into the wrong room the first night , and were quite surprised to have someone with the same room key trying to get in the door |at| 1:00 am !"
ewtb.r.356920.1:5,at,,,Time,,Time,,,,I called on a Friday |at| 12:30 complaining of a severe toothache .
ewtb.r.356920.2:8,at,,,Time,,Time,,,,Dr. Obina told me that his office closed |at| noon and that I should call him on Monday .
ewtb.r.363873.5:6,at,,,Time,,Time,,,,"The pool was supposed to close |at| 10 and they would have people down there until 11:45 yelling , playing music and do who - knows - what in the dark corners of the pool ."
ewtb.r.376320.7:4,at,,,Time,,Time,,,,From my first encounter |at| check in to my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.257296.2:8,at first,,,Time,,Time,,,,"HCC 's new nine was a little shaky |at| |first| , but the NEW grounds superintendant has done wonders for the course !!"
ewtb.r.018548.13:2,back,,,DeicticTime,,Time,,,,This was |back| between '05 and '09 and I do n't remember how many times we 've had it delivered .
ewtb.r.221664.2:14,back,,,DeicticTime,,Time,,,,"I brought a car in to have the "" check engine "" light diagnosed |back| in March of 2010 ."
ewtb.r.255261.7:7,back,,,DeicticTime,,Time,,,,He had a robe that was made |back| in the '60s .
ewtb.r.288100.2:5,back,,,DeicticTime,,Time,,,,"I began seeing Dr. Romanick |back| in 2000 and have seen a significant decline in the quality of care , patient - doctor communication , and just the overall level of services ."
ewtb.r.007403.9:11,before,,,DeicticTime,,Time,,,,I would appreciate reviews from anyone who has worked with me |before| in the mental health setting .
ewtb.r.018548.12:15,before,,,DeicticTime,,Time,,,,"** Edit : Living on campus at Clarkson University , I have had food delivered |before| ."
ewtb.r.034813.4:22,before,,,DeicticTime,,Time,,,,"Sure , some items are a little pricey , but c'm on ... have you ever been out to eat in Seattle |before| ?"
ewtb.r.053248.20:20,before,,,DeicticTime,,Time,,,,"But one should not go here expecting something fantastic , unless perhaps you 've never had middle - eastern food |before| , or succulent duck , tasty lamb , decent portion sizes or actually warm chocolate desserts ."
ewtb.r.090136.6:14,before,,,DeicticTime,,Time,,,,I 've dined at lots of high - end restaurants and I 've never |before| felt my money was so well spent .
ewtb.r.122564.3:8,before,,,DeicticTime,,Time,,,,too many bugs some you even never seen |before| .
ewtb.r.126086.1:13,before,,,DeicticTime,,Time,,,,"I like I Move CA - Los Angeles Movers , they moved me |before| , but this time they were awesome :)"
ewtb.r.135800.9:16,before,,,DeicticTime,,Time,,,,"I found out they did not even drive the car , stated they looked at it |before| ."
ewtb.r.147825.4:8,before,,,DeicticTime,,Time,,,,Do n't think I 've ever been charged |before| .
ewtb.r.181771.3:6,before,,,DeicticTime,,Time,,,,I have never seen this car |before| until this lady at wal mart had it and she told me she got it here and that everyone was so nice to her .
ewtb.r.202709.2:16,before,,,DeicticTime,,Time,,,,"All I can say is that Elmira you are the best I ve experienced , never |before| has the seamstress done a perfect job until i met you ."
ewtb.r.251774.7:17,before,,,DeicticTime,,Time,,,,I feel lighter and feel that I have more possibilities open to me now than I did |before| .
ewtb.r.275919.8:23,before,,,DeicticTime,,Time,,,,"Usage of product barcodes and smooth maintenance of inventory with proper recording of transactions like sale , purchase and returns was never easy |before| ."
ewtb.r.283041.4:31,before,,,DeicticTime,,Time,,,,"Although I 'll have to drive a little out of my way to go there , I 'll gladly do it knowing that since she 's been astounding to me once |before| that she 'll always be that way !"
ewtb.r.326439.5:3,BEFORE,,,DeicticTime,,Time,,,,I HATED SUSHI |BEFORE| BUT NOW I CA NT STOP EATTING IT !!!!!!!
ewtb.r.374604.1:14,before,,,DeicticTime,,Time,,,,"I 've never felt the need to write a review or make a complaint |before| , but after the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody ."
ewtb.r.394662.2:4,before,,,DeicticTime,,Time,,,,I have been here |before| and the service was absoulutely great .
ewtb.r.001961.3:5,before,,,RelativeTime,,Time,,,,Have a real mechanic check |before| you buy !!!!
ewtb.r.010820.11:6,before,,,RelativeTime,,Time,,,,You have to pay CASH ONLY |before| they start unloading track on your destination .
ewtb.r.010820.5:7,before,,,RelativeTime,,Time,,,,So totalling $ 212 just for start |before| any work started .
ewtb.r.020851.2:0,Before,,,RelativeTime,,Time,,,,"|Before| you buy ANYTHING in NY , make sure you stop by Jack -s first ."
ewtb.r.037794.1:29,before,,,RelativeTime,,Time,,,,We came at around 730 and they close at 8 and wanted to try the specials but they were out for the day so I would say go way |before| they close .
ewtb.r.048363.6:8,before,,,RelativeTime,,Time,,,,I called the school most probably 10 times |before| I finally enrolled in a 20 hour package .
ewtb.r.048363.8:2,before,,,RelativeTime,,Time,,,,"Five minutes |before| my initial lesson , I got a call from Gerry advising me of his arrival and to come down as soon as I was ready ."
ewtb.r.084373.3:4,before,,,RelativeTime,,Time,,,,We called few companies |before| we decide to hire them .
ewtb.r.093655.7:17,before,,,RelativeTime,,Time,,,,"I was a waitress for years and a key rule is to serve customers with small children |before| others , as I was the last to get my food ."
ewtb.r.094189.2:10,before,,,RelativeTime,,Time,,,,"They close whenever they feel like it , often well |before| their listed closing time ."
ewtb.r.101972.11:26,before,,,RelativeTime,,Time,,,,My conclusion is that you should only go there if you want to wait a least an hour and see all kinds other people being seated |before| you .
ewtb.r.105518.1:8,before,,,RelativeTime,,Time,,,,Great experience - consider checking out their puppies |before| buying from a breeder !
ewtb.r.181748.6:38,before,,,RelativeTime,,Time,,,,"Essentially , I told him I did n't trust him cause he was a car salesman , but he got so incredibly offended at that statement that he had to go cry to another salesman and compose himself |before| coming back ."
ewtb.r.188548.10:31,before,,,RelativeTime,,Time,,,,There were no other options available ( I only brought my check card to cover any overage cost ) and she rang it up and applied it to the gift card |before| telling me about the tip policy .
ewtb.r.201972.4:5,before,,,RelativeTime,,Time,,,,I came in 30 min |before| close and the staff was super helpful .
ewtb.r.210066.10:10,before,,,RelativeTime,,Time,,,,I feel like they did n't tell me the pitfalls |before| I pulled out this tile and now that I have no other options they want 5 TIMES the price ?
ewtb.r.210066.2:8,before,,,RelativeTime,,Time,,,,"Called the Bonanza store 2 weeks ago , |before| I ripped out 350 sq ft of ceramic tile ... was told I would need a "" dual head concrete grinder "" to remove thinset and make a nice "" finished "" look ( ready for concrete stain ) ."
ewtb.r.216281.4:3,before,,,RelativeTime,,Time,,,,Rich was here |before| the scheduled time .
ewtb.r.229410.5:13,before,,,RelativeTime,,Time,,,,"However , after giving a required $ 500.00 ( NON REFUNDABLE ) deposit |before| seeing any plans or ideas , I was sorry I did ."
ewtb.r.229480.8:20,before,,,RelativeTime,,Time,,,,"You can see different treatments that a surgeon ca n't see , so that you can have several treatment options |before| you decide what to do ."
ewtb.r.235423.5:6,before,,,RelativeTime,,Time,,,,They helped about three other people |before| they offered to help me again .
ewtb.r.247097.3:0,Before,,,RelativeTime,,Time,,,,"|Before| treatment , my food cravings were "" out of control "" which caused me to be stressed out ."
ewtb.r.247097.8:0,Before,,,RelativeTime,,Time,,,,|Before| coming to Acupuncture DOCTOR I was a big baby about needles and only came because my boyfriend 's aunt recommended it .
ewtb.r.248616.2:6,before,,,RelativeTime,,Time,,,,Everything except the display worked fine |before| I took it in .
ewtb.r.275919.2:0,Before,,,RelativeTime,,Time,,,,|Before| using FusionRetail Before installing FusionRetail store was running on a dos based software .
ewtb.r.275919.2:3,Before,,,RelativeTime,,Time,,,,Before using FusionRetail |Before| installing FusionRetail store was running on a dos based software .
ewtb.r.280170.2:7,before,,,RelativeTime,,Time,,,,I used to tan down the street |before| I was referred to this place by one of my friends .
ewtb.r.280663.6:25,before,,,RelativeTime,,Time,,,,"They asked us things that we would have never have thought of , and took extra time to meet with us when we needed it |before| the wedding ."
ewtb.r.283041.2:33,before,,,RelativeTime,,Time,,,,"It was my birthday and I had a last minute idea to have a bakery cake instead of one pre-made in a convenience store , but the problem was it was the day |before| Valentine s and when many bakeries turned me down for a plain vanilla rectangle cake , Fiona stepped up to the plate and was able to make a fantastic beautiful cake ."
ewtb.r.313558.2:8,before,,,RelativeTime,,Time,,,,If possible I try the services on myself |before| I bring in my son .
ewtb.r.319816.12:9,before,,,RelativeTime,,Time,,,,"Once again , I waited for quite a bit |before| being attended to ."
ewtb.r.319816.20:8,before,,,RelativeTime,,Time,,,,Over two hours later ( and ten minutes |before| they closed ) my car was finally finished .
ewtb.r.319816.4:9,before,,,RelativeTime,,Time,,,,"I waited about 20 minutes in the store part |before| anyone was able to assist me and was then told to pull my car into the shop ( that is apparently what you are supposed to do , but the big signs pointing you that way are for some reason kept inside the garage , so you do n't see them drving up , and they purposely block the front pull - up that all other Sear's use ) ."
ewtb.r.319816.5:14,before,,,RelativeTime,,Time,,,,"Once inside , I had to stand around for at least 10 more minutes |before| -- FINALLY -- a technician got to me ."
ewtb.r.336049.2:5,before,,,RelativeTime,,Time,,,,We read the good reviews |before| going and had high hopes .. but to our dismay it did nt turn out that way !
ewtb.r.338429.4:5,before,,,RelativeTime,,Time,,,,Luckily they caught the crooks |before| they did one on us .
